,Регион,Год,Выделенный бюджет на защиту экологии,Unnamed: 0,index,ranks
0,Акмолинская,2005,324101,,1.0,1
1,Акмолинская,2005,330444,,2.7,2
2,Акмолинская,2005,336787,,4.4,3
3,Акмолинская,2005,343130,,6.1,4
4,Акмолинская,2005,349473,,7.8,5
5,Акмолинская,2005,355816,,9.5,6
6,Акмолинская,2005,362159,,11.2,7
7,Акмолинская,2005,368502,,12.9,8
8,Акмолинская,2005,374845,,14.6,9
9,Акмолинская,2005,381188,,16.299999999999997,10
9,Актюбинская,2005,3221574,,17.299999999999997,1
8,Актюбинская,2005,3390424,,15.6,2
7,Актюбинская,2005,3559274,,13.9,3
6,Актюбинская,2005,3728123,,12.2,4
5,Актюбинская,2005,3896973,,10.5,5
4,Актюбинская,2005,4065823,,8.8,6
3,Актюбинская,2005,4234672,,7.1,7
2,Актюбинская,2005,4403522,,5.4,8
1,Актюбинская,2005,4572372,,3.7,9
0,Актюбинская,2005,4741222,,2.0,10
0,Алматинская,2005,306336,,3.0,1
1,Алматинская,2005,313196,,4.7,2
2,Алматинская,2005,320057,,6.4,3
3,Алматинская,2005,326918,,8.1,4
4,Алматинская,2005,333778,,9.8,5
5,Алматинская,2005,340639,,11.5,6
6,Алматинская,2005,347500,,13.2,7
7,Алматинская,2005,354360,,14.9,8
8,Алматинская,2005,361221,,16.6,9
9,Алматинская,2005,368082,,18.299999999999997,10
0,Алматы,2005,747845,,16.0,1
1,Алматы,2005,782070,,17.7,2
2,Алматы,2005,816296,,19.4,3
3,Алматы,2005,850522,,21.1,4
4,Алматы,2005,884747,,22.8,5
5,Алматы,2005,918973,,24.5,6
6,Алматы,2005,953199,,26.2,7
7,Алматы,2005,987424,,27.9,8
8,Алматы,2005,1021650,,29.6,9
9,Алматы,2005,1055876,,31.299999999999997,10
0,Астана,2005,85607,,15.0,1
1,Астана,2005,89324,,16.7,2
2,Астана,2005,93042,,18.4,3
3,Астана,2005,96760,,20.1,4
4,Астана,2005,100478,,21.8,5
5,Астана,2005,104196,,23.5,6
6,Астана,2005,107914,,25.2,7
7,Астана,2005,111632,,26.9,8
8,Астана,2005,115350,,28.6,9
9,Астана,2005,119068,,30.299999999999997,10
9,Атырауская,2005,3574486,,19.299999999999997,1
8,Атырауская,2005,3803029,,17.6,2
7,Атырауская,2005,4031572,,15.9,3
6,Атырауская,2005,4260115,,14.2,4
5,Атырауская,2005,4488658,,12.5,5
4,Атырауская,2005,4717200,,10.8,6
3,Атырауская,2005,4945743,,9.1,7
2,Атырауская,2005,5174286,,7.4,8
1,Атырауская,2005,5402829,,5.7,9
0,Атырауская,2005,5631372,,4.0,10
0,ВКО,2005,3493976,,14.0,1
1,ВКО,2005,3643609,,15.7,2
2,ВКО,2005,3793242,,17.4,3
3,ВКО,2005,3942875,,19.1,4
4,ВКО,2005,4092508,,20.8,5
5,ВКО,2005,4242141,,22.5,6
6,ВКО,2005,4391774,,24.2,7
7,ВКО,2005,4541407,,25.9,8
8,ВКО,2005,4691040,,27.6,9
9,ВКО,2005,4840673,,29.299999999999997,10
9,Жамбылская,2005,609630,,21.299999999999997,1
8,Жамбылская,2005,617835,,19.6,2
7,Жамбылская,2005,626039,,17.9,3
6,Жамбылская,2005,634244,,16.2,4
5,Жамбылская,2005,642449,,14.5,5
4,Жамбылская,2005,650653,,12.8,6
3,Жамбылская,2005,658858,,11.1,7
2,Жамбылская,2005,667062,,9.4,8
1,Жамбылская,2005,675267,,7.7,9
0,Жамбылская,2005,683472,,6.0,10
9,ЗКО,2005,258728,,20.299999999999997,1
8,ЗКО,2005,269973,,18.6,2
7,ЗКО,2005,281218,,16.9,3
6,ЗКО,2005,292463,,15.2,4
5,ЗКО,2005,303708,,13.5,5
4,ЗКО,2005,314953,,11.8,6
3,ЗКО,2005,326198,,10.1,7
2,ЗКО,2005,337443,,8.4,8
1,ЗКО,2005,348688,,6.7,9
0,ЗКО,2005,359934,,5.0,10
0,Карагандинская,2005,5363153,,7.0,1
1,Карагандинская,2005,5610295,,8.7,2
2,Карагандинская,2005,5857438,,10.4,3
3,Карагандинская,2005,6104580,,12.1,4
4,Карагандинская,2005,6351723,,13.8,5
5,Карагандинская,2005,6598865,,15.5,6
6,Карагандинская,2005,6846008,,17.2,7
7,Карагандинская,2005,7093150,,18.9,8
8,Карагандинская,2005,7340293,,20.6,9
9,Карагандинская,2005,7587435,,22.299999999999997,10
0,Костанайская,2005,4089098,,8.0,1
1,Костанайская,2005,4387363,,9.7,2
2,Костанайская,2005,4685628,,11.4,3
3,Костанайская,2005,4983893,,13.1,4
4,Костанайская,2005,5282159,,14.8,5
5,Костанайская,2005,5580424,,16.5,6
6,Костанайская,2005,5878689,,18.2,7
7,Костанайская,2005,6176955,,19.9,8
8,Костанайская,2005,6475220,,21.6,9
9,Костанайская,2005,6773485,,23.299999999999997,10
0,Кызылординская,2005,856102,,9.0,1
1,Кызылординская,2005,858829,,10.7,2
2,Кызылординская,2005,861557,,12.4,3
3,Кызылординская,2005,864285,,14.1,4
4,Кызылординская,2005,867012,,15.8,5
5,Кызылординская,2005,869740,,17.5,6
6,Кызылординская,2005,872468,,19.2,7
7,Кызылординская,2005,875195,,20.9,8
8,Кызылординская,2005,877923,,22.6,9
9,Кызылординская,2005,880651,,24.299999999999997,10
0,Мангистауская,2005,10894270,,10.0,1
1,Мангистауская,2005,11715192,,11.7,2
2,Мангистауская,2005,12536115,,13.4,3
3,Мангистауская,2005,13357038,,15.1,4
4,Мангистауская,2005,14177961,,16.8,5
5,Мангистауская,2005,14998884,,18.5,6
6,Мангистауская,2005,15819807,,20.2,7
7,Мангистауская,2005,16640730,,21.9,8
8,Мангистауская,2005,17461653,,23.6,9
9,Мангистауская,2005,18282576,,25.299999999999997,10
0,Павлодарская,2005,4938780,,12.0,1
1,Павлодарская,2005,5041607,,13.7,2
2,Павлодарская,2005,5144435,,15.4,3
3,Павлодарская,2005,5247262,,17.1,4
4,Павлодарская,2005,5350090,,18.8,5
5,Павлодарская,2005,5452917,,20.5,6
6,Павлодарская,2005,5555745,,22.2,7
7,Павлодарская,2005,5658572,,23.9,8
8,Павлодарская,2005,5761400,,25.6,9
9,Павлодарская,2005,5864227,,27.299999999999997,10
0,Республика Казахстан,2005,43558237,,0.0,1
1,Республика Казахстан,2005,44834425,,1.7,2
2,Республика Казахстан,2005,46110613,,3.4,3
3,Республика Казахстан,2005,47386801,,5.1,4
4,Республика Казахстан,2005,48662989,,6.8,5
5,Республика Казахстан,2005,49939177,,8.5,6
6,Республика Казахстан,2005,51215365,,10.2,7
7,Республика Казахстан,2005,52491553,,11.9,8
8,Республика Казахстан,2005,53767741,,13.6,9
9,Республика Казахстан,2005,55043929,,15.299999999999999,10
0,СКО,2005,179980,,13.0,1
1,СКО,2005,183340,,14.7,2
2,СКО,2005,186700,,16.4,3
3,СКО,2005,190061,,18.1,4
4,СКО,2005,193421,,19.8,5
5,СКО,2005,196782,,21.5,6
6,СКО,2005,200142,,23.2,7
7,СКО,2005,203502,,24.9,8
8,СКО,2005,206863,,26.6,9
9,СКО,2005,210223,,28.299999999999997,10
0,Южно-Казахстанская,2005,862982,,11.0,1
1,Южно-Казахстанская,2005,879985,,12.7,2
2,Южно-Казахстанская,2005,896989,,14.4,3
3,Южно-Казахстанская,2005,913993,,16.1,4
4,Южно-Казахстанская,2005,930996,,17.8,5
5,Южно-Казахстанская,2005,948000,,19.5,6
6,Южно-Казахстанская,2005,965004,,21.2,7
7,Южно-Казахстанская,2005,982007,,22.9,8
8,Южно-Казахстанская,2005,999011,,24.6,9
9,Южно-Казахстанская,2005,1016015,,26.299999999999997,10
19,Акмолинская,2006,312753,,33.3,11
18,Акмолинская,2006,321062,,31.6,12
17,Акмолинская,2006,329371,,29.9,13
16,Акмолинская,2006,337679,,28.2,14
15,Акмолинская,2006,345988,,26.5,15
14,Акмолинская,2006,354297,,24.8,16
13,Акмолинская,2006,362605,,23.1,17
12,Акмолинская,2006,370914,,21.4,18
11,Акмолинская,2006,379223,,19.7,19
10,Акмолинская,2006,387532,,18.0,20
10,Актюбинская,2006,3052725,,19.0,11
11,Актюбинская,2006,3147332,,20.7,12
12,Актюбинская,2006,3241939,,22.4,13
13,Актюбинская,2006,3336547,,24.1,14
14,Актюбинская,2006,3431154,,25.8,15
15,Актюбинская,2006,3525762,,27.5,16
16,Актюбинская,2006,3620369,,29.2,17
17,Актюбинская,2006,3714976,,30.9,18
18,Актюбинская,2006,3809584,,32.6,19
19,Актюбинская,2006,3904191,,34.3,20
10,Алматинская,2006,374943,,20.0,11
11,Алматинская,2006,375389,,21.7,12
12,Алматинская,2006,375835,,23.4,13
13,Алматинская,2006,376281,,25.1,14
14,Алматинская,2006,376727,,26.8,15
15,Алматинская,2006,377174,,28.5,16
16,Алматинская,2006,377620,,30.2,17
17,Алматинская,2006,378066,,31.9,18
18,Алматинская,2006,378512,,33.6,19
19,Алматинская,2006,378958,,35.3,20
10,Алматы,2006,1090102,,33.0,11
11,Алматы,2006,1147408,,34.7,12
12,Алматы,2006,1204715,,36.4,13
13,Алматы,2006,1262022,,38.1,14
14,Алматы,2006,1319329,,39.8,15
15,Алматы,2006,1376636,,41.5,16
16,Алматы,2006,1433943,,43.2,17
17,Алматы,2006,1491250,,44.9,18
18,Алматы,2006,1548557,,46.6,19
19,Алматы,2006,1605864,,48.3,20
10,Астана,2006,122786,,32.0,11
11,Астана,2006,125337,,33.7,12
12,Астана,2006,127888,,35.4,13
13,Астана,2006,130439,,37.1,14
14,Астана,2006,132990,,38.8,15
15,Астана,2006,135541,,40.5,16
16,Астана,2006,138092,,42.2,17
17,Астана,2006,140643,,43.9,18
18,Астана,2006,143194,,45.6,19
19,Астана,2006,145745,,47.3,20
10,Атырауская,2006,3345944,,21.0,11
11,Атырауская,2006,3517264,,22.7,12
12,Атырауская,2006,3688584,,24.4,13
13,Атырауская,2006,3859904,,26.1,14
14,Атырауская,2006,4031225,,27.8,15
15,Атырауская,2006,4202545,,29.5,16
16,Атырауская,2006,4373865,,31.2,17
17,Атырауская,2006,4545186,,32.9,18
18,Атырауская,2006,4716506,,34.6,19
19,Атырауская,2006,4887826,,36.3,20
10,ВКО,2006,4990306,,31.0,11
11,ВКО,2006,5134431,,32.7,12
12,ВКО,2006,5278557,,34.4,13
13,ВКО,2006,5422683,,36.1,14
14,ВКО,2006,5566809,,37.8,15
15,ВКО,2006,5710935,,39.5,16
16,ВКО,2006,5855060,,41.2,17
17,ВКО,2006,5999186,,42.9,18
18,ВКО,2006,6143312,,44.6,19
19,ВКО,2006,6287438,,46.3,20
19,Жамбылская,2006,580555,,38.3,11
18,Жамбылская,2006,582874,,36.6,12
17,Жамбылская,2006,585193,,34.9,13
16,Жамбылская,2006,587512,,33.2,14
15,Жамбылская,2006,589831,,31.5,15
14,Жамбылская,2006,592150,,29.8,16
13,Жамбылская,2006,594469,,28.1,17
12,Жамбылская,2006,596788,,26.4,18
11,Жамбылская,2006,599107,,24.7,19
10,Жамбылская,2006,601426,,23.0,20
10,ЗКО,2006,247483,,22.0,11
11,ЗКО,2006,249911,,23.7,12
12,ЗКО,2006,252340,,25.4,13
13,ЗКО,2006,254768,,27.1,14
14,ЗКО,2006,257197,,28.8,15
15,ЗКО,2006,259626,,30.5,16
16,ЗКО,2006,262054,,32.2,17
17,ЗКО,2006,264483,,33.9,18
18,ЗКО,2006,266911,,35.6,19
19,ЗКО,2006,269340,,37.3,20
10,Карагандинская,2006,7834578,,24.0,11
11,Карагандинская,2006,8040817,,25.7,12
12,Карагандинская,2006,8247057,,27.4,13
13,Карагандинская,2006,8453297,,29.1,14
14,Карагандинская,2006,8659536,,30.8,15
15,Карагандинская,2006,8865776,,32.5,16
16,Карагандинская,2006,9072016,,34.2,17
17,Карагандинская,2006,9278255,,35.9,18
18,Карагандинская,2006,9484495,,37.6,19
19,Карагандинская,2006,9690735,,39.3,20
19,Костанайская,2006,5753529,,40.3,11
18,Костанайская,2006,5899998,,38.6,12
17,Костанайская,2006,6046467,,36.9,13
16,Костанайская,2006,6192936,,35.2,14
15,Костанайская,2006,6339405,,33.5,15
14,Костанайская,2006,6485874,,31.8,16
13,Костанайская,2006,6632343,,30.1,17
12,Костанайская,2006,6778812,,28.4,18
11,Костанайская,2006,6925281,,26.7,19
10,Костанайская,2006,7071751,,25.0,20
10,Кызылординская,2006,883379,,26.0,11
11,Кызылординская,2006,916057,,27.7,12
12,Кызылординская,2006,948735,,29.4,13
13,Кызылординская,2006,981414,,31.1,14
14,Кызылординская,2006,1014092,,32.8,15
15,Кызылординская,2006,1046771,,34.5,16
16,Кызылординская,2006,1079449,,36.2,17
17,Кызылординская,2006,1112127,,37.9,18
18,Кызылординская,2006,1144806,,39.6,19
19,Кызылординская,2006,1177484,,41.3,20
19,Мангистауская,2006,15312249,,42.3,11
18,Мангистауская,2006,15733499,,40.6,12
17,Мангистауская,2006,16154749,,38.9,13
16,Мангистауская,2006,16575999,,37.2,14
15,Мангистауская,2006,16997249,,35.5,15
14,Мангистауская,2006,17418499,,33.8,16
13,Мангистауская,2006,17839749,,32.1,17
12,Мангистауская,2006,18260999,,30.4,18
11,Мангистауская,2006,18682249,,28.7,19
10,Мангистауская,2006,19103499,,27.0,20
10,Павлодарская,2006,5967055,,29.0,11
11,Павлодарская,2006,6056110,,30.7,12
12,Павлодарская,2006,6145165,,32.4,13
13,Павлодарская,2006,6234220,,34.1,14
14,Павлодарская,2006,6323276,,35.8,15
15,Павлодарская,2006,6412331,,37.5,16
16,Павлодарская,2006,6501386,,39.2,17
17,Павлодарская,2006,6590442,,40.9,18
18,Павлодарская,2006,6679497,,42.6,19
19,Павлодарская,2006,6768552,,44.3,20
10,Республика Казахстан,2006,56320118,,17.0,11
11,Республика Казахстан,2006,56560657,,18.7,12
12,Республика Казахстан,2006,56801197,,20.4,13
13,Республика Казахстан,2006,57041737,,22.1,14
14,Республика Казахстан,2006,57282276,,23.8,15
15,Республика Казахстан,2006,57522816,,25.5,16
16,Республика Казахстан,2006,57763356,,27.2,17
17,Республика Казахстан,2006,58003895,,28.9,18
18,Республика Казахстан,2006,58244435,,30.6,19
19,Республика Казахстан,2006,58484975,,32.3,20
10,СКО,2006,213584,,30.0,11
11,СКО,2006,214327,,31.7,12
12,СКО,2006,215070,,33.4,13
13,СКО,2006,215813,,35.1,14
14,СКО,2006,216557,,36.8,15
15,СКО,2006,217300,,38.5,16
16,СКО,2006,218043,,40.2,17
17,СКО,2006,218787,,41.9,18
18,СКО,2006,219530,,43.6,19
19,СКО,2006,220273,,45.3,20
10,Южно-Казахстанская,2006,1033019,,28.0,11
11,Южно-Казахстанская,2006,1050402,,29.7,12
12,Южно-Казахстанская,2006,1067786,,31.4,13
13,Южно-Казахстанская,2006,1085169,,33.1,14
14,Южно-Казахстанская,2006,1102553,,34.8,15
15,Южно-Казахстанская,2006,1119937,,36.5,16
16,Южно-Казахстанская,2006,1137320,,38.2,17
17,Южно-Казахстанская,2006,1154704,,39.9,18
18,Южно-Казахстанская,2006,1172087,,41.6,19
19,Южно-Казахстанская,2006,1189471,,43.3,20
20,Акмолинская,2007,304445,,35.0,21
21,Акмолинская,2007,330189,,36.7,22
22,Акмолинская,2007,355934,,38.4,23
23,Акмолинская,2007,381678,,40.1,24
24,Акмолинская,2007,407423,,41.8,25
25,Акмолинская,2007,433168,,43.5,26
26,Акмолинская,2007,458912,,45.2,27
27,Акмолинская,2007,484657,,46.9,28
28,Акмолинская,2007,510401,,48.6,29
29,Акмолинская,2007,536146,,50.3,30
20,Актюбинская,2007,3998799,,36.0,21
21,Актюбинская,2007,4414902,,37.7,22
22,Актюбинская,2007,4831006,,39.4,23
23,Актюбинская,2007,5247109,,41.1,24
24,Актюбинская,2007,5663213,,42.8,25
25,Актюбинская,2007,6079317,,44.5,26
26,Актюбинская,2007,6495420,,46.2,27
27,Актюбинская,2007,6911524,,47.9,28
28,Актюбинская,2007,7327627,,49.6,29
29,Актюбинская,2007,7743731,,51.3,30
20,Алматинская,2007,379405,,37.0,21
21,Алматинская,2007,379681,,38.7,22
22,Алматинская,2007,379957,,40.4,23
23,Алматинская,2007,380233,,42.1,24
24,Алматинская,2007,380509,,43.8,25
25,Алматинская,2007,380785,,45.5,26
26,Алматинская,2007,381061,,47.2,27
27,Алматинская,2007,381337,,48.9,28
28,Алматинская,2007,381613,,50.6,29
29,Алматинская,2007,381889,,52.3,30
20,Алматы,2007,1663171,,50.0,21
21,Алматы,2007,1697333,,51.7,22
22,Алматы,2007,1731496,,53.4,23
23,Алматы,2007,1765658,,55.1,24
24,Алматы,2007,1799821,,56.8,25
25,Алматы,2007,1833984,,58.5,26
26,Алматы,2007,1868146,,60.2,27
27,Алматы,2007,1902309,,61.9,28
28,Алматы,2007,1936471,,63.6,29
29,Алматы,2007,1970634,,65.3,30
20,Астана,2007,148297,,49.0,21
21,Астана,2007,153846,,50.7,22
22,Астана,2007,159395,,52.4,23
23,Астана,2007,164944,,54.1,24
24,Астана,2007,170493,,55.8,25
25,Астана,2007,176043,,57.5,26
26,Астана,2007,181592,,59.2,27
27,Астана,2007,187141,,60.9,28
28,Астана,2007,192690,,62.6,29
29,Астана,2007,198239,,64.3,30
20,Атырауская,2007,5059147,,38.0,21
21,Атырауская,2007,5828027,,39.7,22
22,Атырауская,2007,6596907,,41.4,23
23,Атырауская,2007,7365788,,43.1,24
24,Атырауская,2007,8134668,,44.8,25
25,Атырауская,2007,8903549,,46.5,26
26,Атырауская,2007,9672429,,48.2,27
27,Атырауская,2007,10441309,,49.9,28
28,Атырауская,2007,11210190,,51.6,29
29,Атырауская,2007,11979070,,53.3,30
20,ВКО,2007,6431564,,48.0,21
21,ВКО,2007,6532889,,49.7,22
22,ВКО,2007,6634215,,51.4,23
23,ВКО,2007,6735541,,53.1,24
24,ВКО,2007,6836866,,54.8,25
25,ВКО,2007,6938192,,56.5,26
26,ВКО,2007,7039518,,58.2,27
27,ВКО,2007,7140843,,59.9,28
28,ВКО,2007,7242169,,61.6,29
29,ВКО,2007,7343495,,63.3,30
20,Жамбылская,2007,578236,,40.0,21
21,Жамбылская,2007,675333,,41.7,22
22,Жамбылская,2007,772430,,43.4,23
23,Жамбылская,2007,869528,,45.1,24
24,Жамбылская,2007,966625,,46.8,25
25,Жамбылская,2007,1063723,,48.5,26
26,Жамбылская,2007,1160820,,50.2,27
27,Жамбылская,2007,1257917,,51.9,28
28,Жамбылская,2007,1355015,,53.6,29
29,Жамбылская,2007,1452112,,55.3,30
