,Регион,Год,Выделенный бюджет на защиту экологии
0,Республика Казахстан,2005.0,43558237.5
16,г. Алматы,2005.0,747845.8
15,г. Астана,2005.0,85607.8
14,Восточно-Казахстанская,2005.0,3493976.9
13,Северо-Казахстанская,2005.0,179980.0
11,Южно-Казахстанская,2005.0,862982.8
10,Мангистауская,2005.0,10894270.3
9,Кызылординская,2005.0,856102.6
12,Павлодарская,2005.0,4938780.1
7,Карагандинская,2005.0,5363153.5
6,Жамбылская,2005.0,683472.8
5,Западно-Казахстанская,2005.0,359934.5
4,Атырауская,2005.0,5631372.2
3,Алматинская,2005.0,306336.6
2,Актюбинская,2005.0,4741222.0
1,Акмолинская,2005.0,324101.6
8,Костанайская,2005.0,4089098.0
26,Кызылординская,2006.0,883379.3
33,г. Алматы,2006.0,1090102.1
32,г. Астана,2006.0,122786.7
31,Восточно-Казахстанская,2006.0,4990306.9
30,Северо-Казахстанская,2006.0,213584.4
28,Южно-Казахстанская,2006.0,1033019.5
27,Мангистауская,2006.0,19103499.2
25,Костанайская,2006.0,7071751.2
29,Павлодарская,2006.0,5967055.6
23,Жамбылская,2006.0,601426.4
22,Западно-Казахстанская,2006.0,247483.2
21,Атырауская,2006.0,3345944.6
20,Алматинская,2006.0,374943.2
19,Актюбинская,2006.0,3052725.3
18,Акмолинская,2006.0,387532.8
17,Республика Казахстан,2006.0,56320118.6
24,Карагандинская,2006.0,7834578.2
50,г. Алматы,2007.0,1663171.6
49,г. Астана,2007.0,148297.2
48,Восточно-Казахстанская,2007.0,6431564.9
47,Северо-Казахстанская,2007.0,221017.0
46,Павлодарская,2007.0,6857608.4
45,Южно-Казахстанская,2007.0,1206855.0
44,Мангистауская,2007.0,14890999.1
43,Кызылординская,2007.0,1210163.4
42,Костанайская,2007.0,5607060.4
40,Жамбылская,2007.0,578236.0
39,Западно-Казахстанская,2007.0,271769.5
38,Атырауская,2007.0,5059147.8
37,Алматинская,2007.0,379405.0
36,Актюбинская,2007.0,3998799.0
35,Акмолинская,2007.0,304445.6
34,Республика Казахстан,2007.0,58725515.7
41,Карагандинская,2007.0,9896975.8
60,Кызылординская,2008.0,2375655.4
67,г. Алматы,2008.0,2004797.4
66,г. Астана,2008.0,203789.1
65,Восточно-Казахстанская,2008.0,7444821.7
64,Северо-Казахстанская,2008.0,269618.7
62,Южно-Казахстанская,2008.0,2049136.3
61,Мангистауская,2008.0,19448415.0
59,Костанайская,2008.0,7741960.4
63,Павлодарская,2008.0,11254772.8
57,Жамбылская,2008.0,1549210.8
51,Республика Казахстан,2008.0,91288342.3
52,Акмолинская,2008.0,561891.6
53,Актюбинская,2008.0,8159835.4
58,Карагандинская,2008.0,14610451.5
55,Атырауская,2008.0,12747951.3
56,Западно-Казахстанская,2008.0,483869.7
54,Алматинская,2008.0,382165.2
78,Мангистауская,2009.0,20806712.7
84,г. Алматы,2009.0,1897770.7
83,г. Астана,2009.0,235735.0
82,Восточно-Казахстанская,2009.0,6166373.6
81,Северо-Казахстанская,2009.0,344665.6
80,Павлодарская,2009.0,17750092.4
79,Южно-Казахстанская,2009.0,2459243.5
77,Кызылординская,2009.0,1722275.1
76,Костанайская,2009.0,8494718.6
75,Карагандинская,2009.0,12605449.2
74,Жамбылская,2009.0,700728.8
73,Западно-Казахстанская,2009.0,784754.0
72,Атырауская,2009.0,16304702.4
71,Алматинская,2009.0,428513.7
70,Актюбинская,2009.0,9092693.3
69,Акмолинская,2009.0,2533459.1
68,Республика Казахстан,2009.0,102327887.7
100,г. Астана,2010.0,267160.3
99,Восточно-Казахстанская,2010.0,7547966.1
98,Северо-Казахстанская,2010.0,397164.3
97,Павлодарская,2010.0,12250777.5
96,Южно-Казахстанская,2010.0,1618764.1
95,Мангистауская,2010.0,13362578.1
94,Кызылординская,2010.0,3074167.2
101,г. Алматы,2010.0,2273175.0
93,Костанайская,2010.0,8892823.1
91,Жамбылская,2010.0,816227.2
90,Западно-Казахстанская,2010.0,551627.3
89,Атырауская,2010.0,23756113.5
88,Алматинская,2010.0,1370813.7
87,Актюбинская,2010.0,10075431.8
86,Акмолинская,2010.0,549875.1
85,Республика Казахстан,2010.0,99652578.5
92,Карагандинская,2010.0,12847914.2
118,г. Алматы,2011.0,2478907.5
117,г. Астана,2011.0,381524.7
116,Восточно-Казахстанская,2011.0,9285216.7
115,Северо-Казахстанская,2011.0,387357.3
114,Павлодарская,2011.0,17152414.3
113,Южно-Казахстанская,2011.0,2137721.7
112,Мангистауская,2011.0,5209300.5
111,Кызылординская,2011.0,2137681.1
110,Костанайская,2011.0,13823375.0
108,Жамбылская,2011.0,1880074.1
107,Западно-Казахстанская,2011.0,997790.7
106,Атырауская,2011.0,18777275.1
105,Алматинская,2011.0,1151949.7
104,Актюбинская,2011.0,9709326.2
103,Акмолинская,2011.0,255417.8
102,Республика Казахстан,2011.0,99212904.8
109,Карагандинская,2011.0,13447572.4
128,Кызылординская,2012.0,2222130.8
135,г. Алматы,2012.0,2765772.3
134,г. Астана,2012.0,688235.3
133,Восточно-Казахстанская,2012.0,12720199.6
131,Павлодарская,2012.0,17926522.1
130,Южно-Казахстанская,2012.0,3329249.5
129,Мангистауская,2012.0,5183970.4
127,Костанайская,2012.0,12263054.4
132,Северо-Казахстанская,2012.0,329649.7
125,Жамбылская,2012.0,2388344.1
119,Республика Казахстан,2012.0,109437909.5
120,Акмолинская,2012.0,565894.4
121,Актюбинская,2012.0,12864658.9
126,Карагандинская,2012.0,15559884.7
122,Алматинская,2012.0,526383.1
123,Атырауская,2012.0,18550999.4
124,Западно-Казахстанская,2012.0,1552960.8
152,г. Алматы,2013.0,2917764.5
151,г. Астана,2013.0,1302260.8
150,Восточно-Казахстанская,2013.0,11771254.5
149,Северо-Казахстанская,2013.0,569774.2
148,Павлодарская,2013.0,15689739.4
147,Южно-Казахстанская,2013.0,3860220.0
145,Кызылординская,2013.0,1753972.7
146,Мангистауская,2013.0,6870385.8
136,Республика Казахстан,2013.0,129093789.0
143,Карагандинская,2013.0,16798313.1
137,Акмолинская,2013.0,694258.9
138,Актюбинская,2013.0,12063443.5
139,Алматинская,2013.0,1623377.1
144,Костанайская,2013.0,12877799.3
141,Западно-Казахстанская,2013.0,6450298.1
142,Жамбылская,2013.0,1780233.5
140,Атырауская,2013.0,32070693.6
169,г. Алматы,2014.0,3664194.0
168,г. Астана,2014.0,992053.0
167,Восточно-Казахстанская,2014.0,13316733.0
166,Северо-Казахстанская,2014.0,772392.0
165,Павлодарская,2014.0,16265835.0
164,Южно-Казахстанская,2014.0,4045632.0
163,Мангистауская,2014.0,14651455.0
162,Кызылординская,2014.0,2428958.0
161,Костанайская,2014.0,16572796.0
159,Жамбылская,2014.0,2181832.0
158,Западно-Казахстанская,2014.0,4964179.0
157,Атырауская,2014.0,25159288.0
156,Алматинская,2014.0,1608070.0
155,Актюбинская,2014.0,16382464.0
154,Акмолинская,2014.0,604221.0
153,Республика Казахстан,2014.0,140578609.0
160,Карагандинская,2014.0,16968507.0
186,г. Алматы,2015.0,3393266.0
185,г. Астана,2015.0,1584670.0
184,Восточно-Казахстанская,2015.0,15838119.0
183,Северо-Казахстанская,2015.0,1864711.0
182,Павлодарская,2015.0,16696011.0
181,Южно-Казахстанская,2015.0,4988206.0
180,Мангистауская,2015.0,29093197.0
179,Кызылординская,2015.0,2904693.0
178,Костанайская,2015.0,5171019.0
176,Жамбылская,2015.0,3245330.0
175,Западно-Казахстанская,2015.0,3793821.0
174,Атырауская,2015.0,40254371.0
173,Алматинская,2015.0,2431904.0
172,Актюбинская,2015.0,18308916.0
171,Акмолинская,2015.0,1200707.0
170,Республика Казахстан,2015.0,174650049.0
177,Карагандинская,2015.0,23881108.0
203,г. Алматы,2016.0,2781349.0
202,г. Астана,2016.0,2424693.0
201,Восточно-Казахстанская,2016.0,15063348.0
200,Северо-Казахстанская,2016.0,1994908.0
199,Павлодарская,2016.0,19015796.0
198,Южно-Казахстанская,2016.0,5461879.0
197,Мангистауская,2016.0,18427462.0
195,Костанайская,2016.0,8303476.0
196,Кызылординская,2016.0,2708568.0
193,Жамбылская,2016.0,3599495.0
187,Республика Казахстан,2016.0,152205626.0
188,Акмолинская,2016.0,2128605.0
189,Актюбинская,2016.0,17711122.0
194,Карагандинская,2016.0,17040221.0
191,Атырауская,2016.0,26218442.0
192,Западно-Казахстанская,2016.0,7533073.0
190,Алматинская,2016.0,1793189.0
220,г. Алматы,2017.0,3314767.0
219,г. Астана,2017.0,2211120.0
218,Восточно-Казахстанская,2017.0,17783490.0
217,Северо-Казахстанская,2017.0,2488085.0
216,Павлодарская,2017.0,22983128.0
215,Южно-Казахстанская,2017.0,5911514.0
213,Кызылординская,2017.0,2401904.0
214,Мангистауская,2017.0,14265688.0
212,Костанайская,2017.0,6946069.0
210,Жамбылская,2017.0,3424138.0
209,Западно-Казахстанская,2017.0,10744087.0
208,Атырауская,2017.0,36827790.0
207,Алматинская,2017.0,844376.0
206,Актюбинская,2017.0,19018457.0
205,Акмолинская,2017.0,2049453.0
204,Республика Казахстан,2017.0,175445180.0
211,Карагандинская,2017.0,24231114.0
232,Павлодарская,2018.0,29016058.0
233,Северо-Казахстанская,2018.0,2700396.0
234,Туркестанская,2018.0,1279159.0
231,Мангистауская,2018.0,11809507.0
236,г. Астана,2018.0,2032590.0
237,г. Алматы,2018.0,3918314.0
235,Восточно-Казахстанская,2018.0,21125691.0
238,г.Шымкент,2018.0,5339483.0
230,Кызылординская,2018.0,2639628.0
228,Карагандинская,2018.0,24045627.0
221,Республика Казахстан,2018.0,191015579.0
222,Акмолинская,2018.0,2715372.0
223,Актюбинская,2018.0,23454296.0
229,Костанайская,2018.0,8400631.0
225,Атырауская,2018.0,38408581.0
226,Западно-Казахстанская,2018.0,9659834.0
227,Жамбылская,2018.0,3629200.0
224,Алматинская,2018.0,841212.0
248,Кызылординская,2019.0,2853868.0
255,г. Алматы,2019.0,4512795.0
254,г. Астана,2019.0,1678216.0
253,Восточно-Казахстанская,2019.0,22885867.0
252,Туркестанская,2019.0,1581227.0
251,Северо-Казахстанская,2019.0,3688821.0
250,Павлодарская,2019.0,33159437.0
249,Мангистауская,2019.0,11127425.0
256,г.Шымкент,2019.0,6633370.0
247,Костанайская,2019.0,8797401.0
245,Жамбылская,2019.0,4782879.0
244,Западно-Казахстанская,2019.0,12631764.0
243,Атырауская,2019.0,51198333.0
242,Алматинская,2019.0,1287082.0
241,Актюбинская,2019.0,24811608.0
240,Акмолинская,2019.0,3165432.0
239,Республика Казахстан,2019.0,221670479.0
246,Карагандинская,2019.0,26874954.0
267,Мангистауская,2020.0,9632475.0
274,г.Шымкент,2020.0,7552841.0
272,г. Астана,2020.0,1032748.0
271,Восточно-Казахстанская,2020.0,25635452.0
270,Туркестанская,2020.0,1294883.0
269,Северо-Казахстанская,2020.0,3102405.0
268,Павлодарская,2020.0,25259670.0
266,Кызылординская,2020.0,2863434.0
273,г. Алматы,2020.0,4984200.0
264,Карагандинская,2020.0,28503150.0
265,Костанайская,2020.0,10423346.0
258,Акмолинская,2020.0,3261696.0
259,Актюбинская,2020.0,26847144.0
257,Республика Казахстан,2020.0,210397122.0
261,Атырауская,2020.0,39940657.0
262,Западно-Казахстанская,2020.0,13685551.0
263,Жамбылская,2020.0,4591362.0
260,Алматинская,2020.0,1786108.0
286,Павлодарская,2021.0,30579926.0
292,г.Шымкент,2021.0,4939942.0
291,г. Алматы,2021.0,6003805.0
290,г. Астана,2021.0,955667.0
289,Восточно-Казахстанская,2021.0,28812255.0
288,Туркестанская,2021.0,1472529.0
287,Северо-Казахстанская,2021.0,4919885.0
285,Мангистауская,2021.0,7823690.0
284,Кызылординская,2021.0,3300927.0
282,Карагандинская,2021.0,36770655.0
281,Жамбылская,2021.0,5765390.0
280,Западно-Казахстанская,2021.0,9038468.0
279,Атырауская,2021.0,52132403.0
278,Алматинская,2021.0,2304693.0
277,Актюбинская,2021.0,32455655.0
276,Акмолинская,2021.0,4791410.0
275,Республика Казахстан,2021.0,245790216.0
283,Костанайская,2021.0,13722916.0
305,Мангистауская,2022.0,7783851.0
306,Павлодарская,2022.0,30291043.0
307,Северо-Казахстанская,2022.0,4419072.0
308,Туркестанская,2022.0,1649601.0
313,г.Шымкент,2022.0,5295069.0
310,Восточно-Казахстанская,2022.0,29156691.0
311,г. Астана,2022.0,6057361.0
312,г. Алматы,2022.0,7326231.0
309,Ұлытау,2022.0,12860844.0
304,Кызылординская,2022.0,3827088.0
299,Западно-Казахстанская,2022.0,8434895.0
302,Карагандинская,2022.0,32904100.0
303,Костанайская,2022.0,18068017.0
294,Абай,2022.0,4569245.0
295,Акмолинская,2022.0,4783079.0
296,Актюбинская,2022.0,40651798.0
293,Республика Казахстан,2022.0,284853377.0
298,Атырауская,2022.0,56508271.0
300,Жамбылская,2022.0,7328188.0
301,Жетісу,2022.0,973288.0
297,Алматинская,2022.0,1965645.0
566,Карагандинская,2023.0,33651724.8588233
398,Алматинская,2023.0,2114058.7797385454
342,Акмолинская,2023.0,3992425.4718953967
874,г.Шымкент,2023.0,5417464.199999988
846,г. Астана,2023.0,3049635.624182999
370,Актюбинская,2023.0,33792507.84182978
594,Костанайская,2023.0,13298928.896078467
818,г. Алматы,2023.0,6010783.116993427
482,Жамбылская,2023.0,6029293.084967256
510,Жетісу,2023.0,973288.0
762,Туркестанская,2023.0,1645135.599999994
426,Атырауская,2023.0,55967474.48300648
734,Северо-Казахстанская,2023.0,4215408.540522933
706,Республика Казахстан,2023.0,262804824.6228752
622,Кызылординская,2023.0,3544931.099999994
454,Восточно-Казахстанская,2023.0,28720548.967320442
678,Павлодарская,2023.0,32846970.827450752
538,Западно-Казахстанская,2023.0,12634011.24575162
790,Южно-Казахстанская,2023.0,8144262.076923013
902,Ұлытау,2023.0,12860844.0
650,Мангистауская,2023.0,10305504.882352948
314,Абай,2023.0,4569245.0
539,Западно-Казахстанская,2024.0,13424806.816649437
651,Мангистауская,2024.0,9984535.331372619
819,г. Алматы,2024.0,6305846.673753023
791,Южно-Казахстанская,2024.0,8573178.63846147
399,Алматинская,2024.0,2211409.023804605
903,Ұлытау,2024.0,12860844.0
763,Туркестанская,2024.0,1708354.199999988
427,Атырауская,2024.0,58917896.73326397
511,Жетісу,2024.0,973288.0
735,Северо-Казахстанская,2024.0,4490343.4383558035
707,Республика Казахстан,2024.0,275344376.21709824
315,Абай,2024.0,4569245.0
455,Восточно-Казахстанская,2024.0,30226400.163295746
623,Кызылординская,2024.0,3671505.1596491337
679,Павлодарская,2024.0,34356858.595252514
