Регион,Год,Выделенный бюджет на защиту экологии
Республика Казахстан,2005.0,43558237.5
Акмолинская,2005.0,324101.6
Актюбинская,2005.0,4741222.0
Алматинская,2005.0,306336.6
Атырауская,2005.0,5631372.2
Западно-Казахстанская,2005.0,359934.5
Жамбылская,2005.0,683472.8
Карагандинская,2005.0,5363153.5
Костанайская,2005.0,4089098.0
Кызылординская,2005.0,856102.6
Мангистауская,2005.0,10894270.3
Южно-Казахстанская,2005.0,862982.8
Павлодарская,2005.0,4938780.1
Северо-Казахстанская,2005.0,179980.0
Восточно-Казахстанская,2005.0,3493976.9
г. Астана,2005.0,85607.8
г. Алматы,2005.0,747845.8
Республика Казахстан,2006.0,56320118.6
Акмолинская,2006.0,387532.8
Актюбинская,2006.0,3052725.3
Алматинская,2006.0,374943.2
Атырауская,2006.0,3345944.6
Западно-Казахстанская,2006.0,247483.2
Жамбылская,2006.0,601426.4
Карагандинская,2006.0,7834578.2
Костанайская,2006.0,7071751.2
Кызылординская,2006.0,883379.3
Мангистауская,2006.0,19103499.2
Южно-Казахстанская,2006.0,1033019.5
Павлодарская,2006.0,5967055.6
Северо-Казахстанская,2006.0,213584.4
Восточно-Казахстанская,2006.0,4990306.9
г. Астана,2006.0,122786.7
г. Алматы,2006.0,1090102.1
Республика Казахстан,2007.0,58725515.7
Акмолинская,2007.0,304445.6
Актюбинская,2007.0,3998799.0
Алматинская,2007.0,379405.0
Атырауская,2007.0,5059147.8
Западно-Казахстанская,2007.0,271769.5
Жамбылская,2007.0,578236.0
Карагандинская,2007.0,9896975.8
Костанайская,2007.0,5607060.4
Кызылординская,2007.0,1210163.4
Мангистауская,2007.0,14890999.1
Южно-Казахстанская,2007.0,1206855.0
Павлодарская,2007.0,6857608.4
Северо-Казахстанская,2007.0,221017.0
Восточно-Казахстанская,2007.0,6431564.9
г. Астана,2007.0,148297.2
г. Алматы,2007.0,1663171.6
Республика Казахстан,2008.0,91288342.3
Акмолинская,2008.0,561891.6
Актюбинская,2008.0,8159835.4
Алматинская,2008.0,382165.2
Атырауская,2008.0,12747951.3
Западно-Казахстанская,2008.0,483869.7
Жамбылская,2008.0,1549210.8
Карагандинская,2008.0,14610451.5
