,Регион,Год,Выброс загрезнений(тыс.тонн),Unnamed: 0,index,ranks
0,Акмолинская,2005,44,,1.0,1
1,Акмолинская,2005,44,,2.7,2
2,Акмолинская,2005,45,,4.4,3
3,Акмолинская,2005,46,,6.1,4
4,Акмолинская,2005,47,,7.8,5
5,Акмолинская,2005,48,,9.5,6
6,Акмолинская,2005,49,,11.2,7
7,Акмолинская,2005,50,,12.9,8
8,Акмолинская,2005,51,,14.6,9
9,Акмолинская,2005,52,,16.299999999999997,10
0,Актюбинская,2005,168,,2.0,1
1,Актюбинская,2005,171,,3.7,2
2,Актюбинская,2005,174,,5.4,3
3,Актюбинская,2005,177,,7.1,4
4,Актюбинская,2005,180,,8.8,5
5,Актюбинская,2005,183,,10.5,6
6,Актюбинская,2005,186,,12.2,7
7,Актюбинская,2005,189,,13.9,8
8,Актюбинская,2005,192,,15.6,9
9,Актюбинская,2005,195,,17.299999999999997,10
0,Алматинская,2005,68,,3.0,1
1,Алматинская,2005,68,,4.7,2
2,Алматинская,2005,68,,6.4,3
3,Алматинская,2005,68,,8.1,4
4,Алматинская,2005,69,,9.8,5
5,Алматинская,2005,69,,11.5,6
6,Алматинская,2005,69,,13.2,7
7,Алматинская,2005,70,,14.9,8
8,Алматинская,2005,70,,16.6,9
9,Алматинская,2005,70,,18.299999999999997,10
0,Алматы,2005,15,,16.0,1
1,Алматы,2005,15,,17.7,2
2,Алматы,2005,15,,19.4,3
3,Алматы,2005,15,,21.1,4
4,Алматы,2005,15,,22.8,5
5,Алматы,2005,15,,24.5,6
6,Алматы,2005,15,,26.2,7
7,Алматы,2005,15,,27.9,8
8,Алматы,2005,15,,29.6,9
9,Алматы,2005,15,,31.299999999999997,10
0,Астана,2005,43,,15.0,1
1,Астана,2005,43,,16.7,2
2,Астана,2005,43,,18.4,3
3,Астана,2005,43,,20.1,4
4,Астана,2005,43,,21.8,5
5,Астана,2005,43,,23.5,6
6,Астана,2005,43,,25.2,7
7,Астана,2005,43,,26.9,8
8,Астана,2005,43,,28.6,9
9,Астана,2005,43,,30.299999999999997,10
0,Атырауская,2005,89,,4.0,1
1,Атырауская,2005,89,,5.7,2
2,Атырауская,2005,90,,7.4,3
3,Атырауская,2005,90,,9.1,4
4,Атырауская,2005,91,,10.8,5
5,Атырауская,2005,92,,12.5,6
6,Атырауская,2005,92,,14.2,7
7,Атырауская,2005,93,,15.9,8
8,Атырауская,2005,93,,17.6,9
9,Атырауская,2005,94,,19.299999999999997,10
9,ВКО,2005,157,,29.299999999999997,1
8,ВКО,2005,158,,27.6,2
7,ВКО,2005,159,,25.9,3
6,ВКО,2005,160,,24.2,4
5,ВКО,2005,161,,22.5,5
4,ВКО,2005,161,,20.8,6
3,ВКО,2005,162,,19.1,7
2,ВКО,2005,163,,17.4,8
1,ВКО,2005,164,,15.7,9
0,ВКО,2005,165,,14.0,10
0,Жамбылская,2005,18,,6.0,1
1,Жамбылская,2005,18,,7.7,2
2,Жамбылская,2005,18,,9.4,3
3,Жамбылская,2005,18,,11.1,4
4,Жамбылская,2005,18,,12.8,5
5,Жамбылская,2005,19,,14.5,6
6,Жамбылская,2005,19,,16.2,7
7,Жамбылская,2005,19,,17.9,8
8,Жамбылская,2005,19,,19.6,9
9,Жамбылская,2005,19,,21.299999999999997,10
9,ЗКО,2005,54,,20.299999999999997,1
8,ЗКО,2005,56,,18.6,2
7,ЗКО,2005,59,,16.9,3
6,ЗКО,2005,61,,15.2,4
