,Регион,Год,Выброс загрезнений(тыс.тонн)
0,Республика Казахстан,2005.0,2968.8
16,г. Алматы,2005.0,15.5
15,г. Астана,2005.0,43.9
14,Восточно-Казахстанская,2005.0,165.7
13,Северо-Казахстанская,2005.0,65.5
11,Южно-Казахстанская,2005.0,36.8
10,Мангистауская,2005.0,63.5
9,Кызылординская,2005.0,40.0
12,Павлодарская,2005.0,556.8
7,Карагандинская,2005.0,1415.4
6,Жамбылская,2005.0,18.9
5,Западно-Казахстанская,2005.0,76.4
4,Атырауская,2005.0,89.4
3,Алматинская,2005.0,68.4
2,Актюбинская,2005.0,168.2
1,Акмолинская,2005.0,44.0
8,Костанайская,2005.0,100.4
26,Кызылординская,2006.0,35.9
33,г. Алматы,2006.0,15.1
32,г. Астана,2006.0,44.4
31,Восточно-Казахстанская,2006.0,157.8
30,Северо-Казахстанская,2006.0,66.2
28,Южно-Казахстанская,2006.0,38.9
27,Мангистауская,2006.0,66.7
25,Костанайская,2006.0,118.1
29,Павлодарская,2006.0,582.9
23,Жамбылская,2006.0,20.0
22,Западно-Казахстанская,2006.0,52.3
21,Атырауская,2006.0,95.0
20,Алматинская,2006.0,71.8
19,Актюбинская,2006.0,199.0
18,Акмолинская,2006.0,53.9
17,Республика Казахстан,2006.0,2921.2
24,Карагандинская,2006.0,1303.2
50,г. Алматы,2007.0,15.1
49,г. Астана,2007.0,44.7
48,Восточно-Казахстанская,2007.0,166.5
47,Северо-Казахстанская,2007.0,69.3
46,Павлодарская,2007.0,575.4
45,Южно-Казахстанская,2007.0,39.9
44,Мангистауская,2007.0,64.9
43,Кызылординская,2007.0,36.3
42,Костанайская,2007.0,115.6
40,Жамбылская,2007.0,21.2
39,Западно-Казахстанская,2007.0,47.3
38,Атырауская,2007.0,107.7
37,Алматинская,2007.0,62.4
36,Актюбинская,2007.0,204.6
35,Акмолинская,2007.0,78.2
34,Республика Казахстан,2007.0,2915.0
41,Карагандинская,2007.0,1265.9
60,Кызылординская,2008.0,34.7
67,г. Алматы,2008.0,13.9
66,г. Астана,2008.0,43.7
65,Восточно-Казахстанская,2008.0,151.4
64,Северо-Казахстанская,2008.0,73.0
62,Южно-Казахстанская,2008.0,40.4
61,Мангистауская,2008.0,61.7
59,Костанайская,2008.0,106.3
63,Павлодарская,2008.0,596.6
57,Жамбылская,2008.0,28.9
51,Республика Казахстан,2008.0,2643.1
52,Акмолинская,2008.0,75.3
53,Актюбинская,2008.0,208.9
58,Карагандинская,2008.0,991.6
55,Атырауская,2008.0,106.4
56,Западно-Казахстанская,2008.0,42.0
54,Алматинская,2008.0,68.3
78,Мангистауская,2009.0,64.3
84,г. Алматы,2009.0,11.3
83,г. Астана,2009.0,56.5
82,Восточно-Казахстанская,2009.0,149.2
81,Северо-Казахстанская,2009.0,77.7
80,Павлодарская,2009.0,560.8
79,Южно-Казахстанская,2009.0,39.9
77,Кызылординская,2009.0,33.9
76,Костанайская,2009.0,111.0
75,Карагандинская,2009.0,687.7
74,Жамбылская,2009.0,16.7
73,Западно-Казахстанская,2009.0,49.6
72,Атырауская,2009.0,100.2
71,Алматинская,2009.0,71.3
70,Актюбинская,2009.0,218.4
69,Акмолинская,2009.0,71.5
