Регион,Год,Выброс загрезнений(тыс.тонн)
Республика Казахстан,2005.0,2968.8
Акмолинская,2005.0,44.0
Актюбинская,2005.0,168.2
Алматинская,2005.0,68.4
Атырауская,2005.0,89.4
Западно-Казахстанская,2005.0,76.4
Жамбылская,2005.0,18.9
Карагандинская,2005.0,1415.4
Костанайская,2005.0,100.4
Кызылординская,2005.0,40.0
Мангистауская,2005.0,63.5
Южно-Казахстанская,2005.0,36.8
Павлодарская,2005.0,556.8
Северо-Казахстанская,2005.0,65.5
Восточно-Казахстанская,2005.0,165.7
г. Астана,2005.0,43.9
г. Алматы,2005.0,15.5
Республика Казахстан,2006.0,2921.2
Акмолинская,2006.0,53.9
Актюбинская,2006.0,199.0
Алматинская,2006.0,71.8
Атырауская,2006.0,95.0
Западно-Казахстанская,2006.0,52.3
Жамбылская,2006.0,20.0
Карагандинская,2006.0,1303.2
Костанайская,2006.0,118.1
Кызылординская,2006.0,35.9
Мангистауская,2006.0,66.7
Южно-Казахстанская,2006.0,38.9
Павлодарская,2006.0,582.9
Северо-Казахстанская,2006.0,66.2
Восточно-Казахстанская,2006.0,157.8
г. Астана,2006.0,44.4
г. Алматы,2006.0,15.1
Республика Казахстан,2007.0,2915.0
Акмолинская,2007.0,78.2
Актюбинская,2007.0,204.6
Алматинская,2007.0,62.4
Атырауская,2007.0,107.7
Западно-Казахстанская,2007.0,47.3
Жамбылская,2007.0,21.2
Карагандинская,2007.0,1265.9
Костанайская,2007.0,115.6
Кызылординская,2007.0,36.3
Мангистауская,2007.0,64.9
Южно-Казахстанская,2007.0,39.9
Павлодарская,2007.0,575.4
Северо-Казахстанская,2007.0,69.3
Восточно-Казахстанская,2007.0,166.5
г. Астана,2007.0,44.7
г. Алматы,2007.0,15.1
Республика Казахстан,2008.0,2643.1
Акмолинская,2008.0,75.3
Актюбинская,2008.0,208.9
Алматинская,2008.0,68.3
Атырауская,2008.0,106.4
Западно-Казахстанская,2008.0,42.0
Жамбылская,2008.0,28.9
Карагандинская,2008.0,991.6
Костанайская,2008.0,106.3
Кызылординская,2008.0,34.7
Мангистауская,2008.0,61.7
Южно-Казахстанская,2008.0,40.4
Павлодарская,2008.0,596.6
Северо-Казахстанская,2008.0,73.0
Восточно-Казахстанская,2008.0,151.4
г. Астана,2008.0,43.7
г. Алматы,2008.0,13.9
Республика Казахстан,2009.0,2320.0
Акмолинская,2009.0,71.5
Актюбинская,2009.0,218.4
Алматинская,2009.0,71.3
Атырауская,2009.0,100.2
Западно-Казахстанская,2009.0,49.6
Жамбылская,2009.0,16.7
Карагандинская,2009.0,687.7
Костанайская,2009.0,111.0
Кызылординская,2009.0,33.9
Мангистауская,2009.0,64.3
Южно-Казахстанская,2009.0,39.9
Павлодарская,2009.0,560.8
Северо-Казахстанская,2009.0,77.7
Восточно-Казахстанская,2009.0,149.2
г. Астана,2009.0,56.5
г. Алматы,2009.0,11.3
Республика Казахстан,2010.0,2226.6
Акмолинская,2010.0,72.9
Актюбинская,2010.0,125.3
Алматинская,2010.0,74.7
Атырауская,2010.0,97.8
Западно-Казахстанская,2010.0,58.1
Жамбылская,2010.0,19.3
Карагандинская,2010.0,661.2
Костанайская,2010.0,114.5
Кызылординская,2010.0,29.0
Мангистауская,2010.0,68.6
Южно-Казахстанская,2010.0,40.7
Павлодарская,2010.0,572.5
Северо-Казахстанская,2010.0,77.8
Восточно-Казахстанская,2010.0,147.0
г. Астана,2010.0,56.2
г. Алматы,2010.0,11.0
Республика Казахстан,2011.0,2346.2999999999997
Акмолинская,2011.0,77.8
Актюбинская,2011.0,119.8
Алматинская,2011.0,73.4
Атырауская,2011.0,107.4
Западно-Казахстанская,2011.0,55.9
Жамбылская,2011.0,24.9
Карагандинская,2011.0,691.3
Костанайская,2011.0,109.4
Кызылординская,2011.0,31.9
Мангистауская,2011.0,75.8
Южно-Казахстанская,2011.0,47.1
Павлодарская,2011.0,632.2
Северо-Казахстанская,2011.0,77.0
Восточно-Казахстанская,2011.0,147.2
г. Астана,2011.0,63.5
г. Алматы,2011.0,11.7
Республика Казахстан,2012.0,2384.3
Акмолинская,2012.0,105.7
Актюбинская,2012.0,123.9
Алматинская,2012.0,64.3
Атырауская,2012.0,133.1
Западно-Казахстанская,2012.0,62.0
Жамбылская,2012.0,40.7
Карагандинская,2012.0,641.4
Костанайская,2012.0,100.6
Кызылординская,2012.0,31.1
Мангистауская,2012.0,64.2
Южно-Казахстанская,2012.0,48.6
Павлодарская,2012.0,675.9
Северо-Казахстанская,2012.0,75.7
Восточно-Казахстанская,2012.0,140.1
г. Астана,2012.0,64.9
г. Алматы,2012.0,12.1
Республика Казахстан,2013.0,2282.7
Акмолинская,2013.0,83.8
Актюбинская,2013.0,125.4
Алматинская,2013.0,68.4
Атырауская,2013.0,138.4
Западно-Казахстанская,2013.0,60.4
Жамбылская,2013.0,33.6
Карагандинская,2013.0,572.6
Костанайская,2013.0,115.4
Кызылординская,2013.0,31.2
Мангистауская,2013.0,77.5
Южно-Казахстанская,2013.0,56.3
Павлодарская,2013.0,650.4
Северо-Казахстанская,2013.0,71.4
Восточно-Казахстанская,2013.0,125.0
г. Астана,2013.0,60.6
г. Алматы,2013.0,12.4
Республика Казахстан,2014.0,2256.7
Акмолинская,2014.0,84.6
Актюбинская,2014.0,121.8
Алматинская,2014.0,51.6
Атырауская,2014.0,109.1
Западно-Казахстанская,2014.0,44.7
Жамбылская,2014.0,38.2
Карагандинская,2014.0,603.6
Костанайская,2014.0,103.8
Кызылординская,2014.0,30.8
Мангистауская,2014.0,88.3
Южно-Казахстанская,2014.0,59.9
Павлодарская,2014.0,610.2
Северо-Казахстанская,2014.0,72.0
Восточно-Казахстанская,2014.0,129.6
г. Астана,2014.0,65.1
г. Алматы,2014.0,43.5
Республика Казахстан,2015.0,2180.0
Акмолинская,2015.0,85.6
Актюбинская,2015.0,134.3
Алматинская,2015.0,55.0
Атырауская,2015.0,110.7
Западно-Казахстанская,2015.0,42.4
Жамбылская,2015.0,41.9
Карагандинская,2015.0,596.4
Костанайская,2015.0,91.6
Кызылординская,2015.0,30.1
Мангистауская,2015.0,72.5
Южно-Казахстанская,2015.0,69.0
Павлодарская,2015.0,552.9
Северо-Казахстанская,2015.0,74.9
Восточно-Казахстанская,2015.0,127.1
г. Астана,2015.0,56.3
г. Алматы,2015.0,39.1
Республика Казахстан,2016.0,2271.6
Акмолинская,2016.0,94.5
Актюбинская,2016.0,155.6
Алматинская,2016.0,50.3
Атырауская,2016.0,167.1
Западно-Казахстанская,2016.0,42.5
Жамбылская,2016.0,52.4
Карагандинская,2016.0,593.0
Костанайская,2016.0,98.7
Кызылординская,2016.0,30.1
Мангистауская,2016.0,65.8
Южно-Казахстанская,2016.0,72.1
Павлодарская,2016.0,542.7
Северо-Казахстанская,2016.0,77.7
Восточно-Казахстанская,2016.0,128.6
г. Астана,2016.0,61.6
г. Алматы,2016.0,38.8
Республика Казахстан,2017.0,2357.8
Акмолинская,2017.0,86.9
Актюбинская,2017.0,169.5
Алматинская,2017.0,43.4
Атырауская,2017.0,177.0
Западно-Казахстанская,2017.0,41.5
Жамбылская,2017.0,51.9
Карагандинская,2017.0,598.7
Костанайская,2017.0,114.8
Кызылординская,2017.0,27.5
Мангистауская,2017.0,62.6
Южно-Казахстанская,2017.0,68.2
